
Testing the neural network:
Number: -658178, Predicted: even, Actual: even ✓
Number: 806874, Predicted: even, Actual: even ✓
Number: -187748, Predicted: even, Actual: even ✓
Number: 316350, Predicted: even, Actual: even ✓
Number: 959731, Predicted: odd, Actual: odd ✓
Number: 183941, Predicted: odd, Actual: odd ✓
Number: -264425, Predicted: odd, Actual: odd ✓
Number: -388721, Predicted: odd, Actual: odd ✓
Number: -122396, Predicted: even, Actual: even ✓
Number: -621024, Predicted: even, Actual: even ✓
Number: -335409, Predicted: odd, Actual: odd ✓
Number: -687859, Predicted: odd, Actual: odd ✓
Number: 681146, Predicted: even, Actual: even ✓
Number: -656834, Predicted: even, Actual: even ✓
Number: -847169, Predicted: odd, Actual: odd ✓
Number: -71760, Predicted: even, Actual: even ✓
Number: -93990, Predicted: even, Actual: even ✓
Number: -800231, Predicted: odd, Actual: odd ✓
Number: 21186, Predicted: even, Actual: even ✓
Number: 4950, Predicted: even, Actual: even ✓
Number: 472041, Predicted: odd, Actual: odd ✓
Number: 662402, Predicted: even, Actual: even ✓
Number: -786649, Predicted: odd, Actual: odd ✓
Number: -564589, Predicted: odd, Actual: odd ✓
Number: -651517, Predicted: odd, Actual: odd ✓
Number: -121301, Predicted: odd, Actual: odd ✓
Number: -694097, Predicted: odd, Actual: odd ✓
Number: 729735, Predicted: odd, Actual: odd ✓
Number: 921094, Predicted: even, Actual: even ✓
Number: 569793, Predicted: odd, Actual: odd ✓
Number: -495287, Predicted: odd, Actual: odd ✓
Number: 835653, Predicted: odd, Actual: odd ✓
Number: -381746, Predicted: even, Actual: even ✓
Number: -601855, Predicted: odd, Actual: odd ✓
Number: -442735, Predicted: odd, Actual: odd ✓
Number: -83745, Predicted: odd, Actual: odd ✓
Number: 767505, Predicted: odd, Actual: odd ✓
Number: -394251, Predicted: odd, Actual: odd ✓
Number: -107149, Predicted: odd, Actual: odd ✓
Number: -674053, Predicted: odd, Actual: odd ✓
Number: 861107, Predicted: odd, Actual: odd ✓
Number: 607572, Predicted: even, Actual: even ✓
Number: 985030, Predicted: even, Actual: even ✓
Number: 346524, Predicted: even, Actual: even ✓
Number: 323032, Predicted: even, Actual: even ✓
Number: 360664, Predicted: even, Actual: even ✓
Number: -30862, Predicted: even, Actual: even ✓
Number: -129156, Predicted: even, Actual: even ✓
Number: -91181, Predicted: odd, Actual: odd ✓
Number: -175929, Predicted: odd, Actual: odd ✓
Number: 74643, Predicted: odd, Actual: odd ✓
Number: -627634, Predicted: even, Actual: even ✓
Number: -574701, Predicted: odd, Actual: odd ✓
Number: -365328, Predicted: even, Actual: even ✓
Number: -939361, Predicted: odd, Actual: odd ✓
Number: -174537, Predicted: odd, Actual: odd ✓
Number: -115777, Predicted: odd, Actual: odd ✓
Number: 171177, Predicted: odd, Actual: odd ✓
Number: 760076, Predicted: even, Actual: even ✓
Number: -138932, Predicted: even, Actual: even ✓
Number: -723085, Predicted: odd, Actual: odd ✓
Number: 463934, Predicted: even, Actual: even ✓
Number: 786032, Predicted: even, Actual: even ✓
Number: 362107, Predicted: odd, Actual: odd ✓
Number: -867871, Predicted: odd, Actual: odd ✓
Number: 504393, Predicted: odd, Actual: odd ✓
Number: -254324, Predicted: even, Actual: even ✓
Number: -626919, Predicted: odd, Actual: odd ✓
Number: -533223, Predicted: odd, Actual: odd ✓
Number: 845395, Predicted: odd, Actual: odd ✓
Number: -461133, Predicted: odd, Actual: odd ✓
Number: -901455, Predicted: odd, Actual: odd ✓
Number: 340874, Predicted: even, Actual: even ✓
Number: -551885, Predicted: odd, Actual: odd ✓
Number: -125431, Predicted: odd, Actual: odd ✓
Number: -758867, Predicted: odd, Actual: odd ✓
Number: 186969, Predicted: odd, Actual: odd ✓
Number: 473390, Predicted: even, Actual: even ✓
Number: -39987, Predicted: odd, Actual: odd ✓
Number: -761244, Predicted: even, Actual: even ✓
Number: -786781, Predicted: odd, Actual: odd ✓
Number: 807359, Predicted: odd, Actual: odd ✓
Number: -965505, Predicted: odd, Actual: odd ✓
Number: 920018, Predicted: even, Actual: even ✓
Number: 142694, Predicted: even, Actual: even ✓
Number: 120733, Predicted: odd, Actual: odd ✓
Number: 644796, Predicted: even, Actual: even ✓
Number: -563780, Predicted: even, Actual: even ✓
Number: -646698, Predicted: even, Actual: even ✓
Number: -915152, Predicted: even, Actual: even ✓
Number: -701777, Predicted: odd, Actual: odd ✓
Number: -410489, Predicted: odd, Actual: odd ✓
Number: -322270, Predicted: even, Actual: even ✓
Number: 867034, Predicted: even, Actual: even ✓
Number: -143405, Predicted: odd, Actual: odd ✓
Number: -426581, Predicted: odd, Actual: odd ✓
Number: -630229, Predicted: odd, Actual: odd ✓
Number: -570282, Predicted: even, Actual: even ✓
Number: 952017, Predicted: odd, Actual: odd ✓
Number: 325283, Predicted: odd, Actual: odd ✓
Number: 648336, Predicted: even, Actual: even ✓
Number: 521896, Predicted: even, Actual: even ✓
Number: 207753, Predicted: odd, Actual: odd ✓
Number: -493104, Predicted: even, Actual: even ✓
Number: 507992, Predicted: even, Actual: even ✓
Number: -551954, Predicted: even, Actual: even ✓
Number: -380890, Predicted: even, Actual: even ✓
Number: 440928, Predicted: even, Actual: even ✓
Number: -512457, Predicted: odd, Actual: odd ✓
Number: -572476, Predicted: even, Actual: even ✓
Number: -634542, Predicted: even, Actual: even ✓
Number: 840006, Predicted: even, Actual: even ✓
Number: -641407, Predicted: odd, Actual: odd ✓
Number: -243785, Predicted: odd, Actual: odd ✓
Number: -590914, Predicted: even, Actual: even ✓
Number: 739423, Predicted: odd, Actual: odd ✓
Number: 760749, Predicted: odd, Actual: odd ✓
Number: -128736, Predicted: even, Actual: even ✓
Number: -113851, Predicted: odd, Actual: odd ✓
Number: -343859, Predicted: odd, Actual: odd ✓
Number: -970066, Predicted: even, Actual: even ✓
Number: 561671, Predicted: odd, Actual: odd ✓
Number: -333963, Predicted: odd, Actual: odd ✓
Number: -219167, Predicted: odd, Actual: odd ✓
Number: 412416, Predicted: even, Actual: even ✓
Number: -128669, Predicted: odd, Actual: odd ✓
Number: 981893, Predicted: odd, Actual: odd ✓
Number: 416737, Predicted: odd, Actual: odd ✓
Number: -655978, Predicted: even, Actual: even ✓
Number: -583607, Predicted: odd, Actual: odd ✓
Number: 603896, Predicted: even, Actual: even ✓
Number: -698079, Predicted: odd, Actual: odd ✓
Number: -704461, Predicted: odd, Actual: odd ✓
Number: 529328, Predicted: even, Actual: even ✓
Number: 328460, Predicted: even, Actual: even ✓
Number: -679195, Predicted: odd, Actual: odd ✓
Number: 473759, Predicted: odd, Actual: odd ✓
Number: -14495, Predicted: odd, Actual: odd ✓
Number: -45319, Predicted: odd, Actual: odd ✓
Number: 67451, Predicted: odd, Actual: odd ✓
Number: -182018, Predicted: even, Actual: even ✓
Number: -150581, Predicted: odd, Actual: odd ✓
Number: -937759, Predicted: odd, Actual: odd ✓
Number: 469958, Predicted: even, Actual: even ✓
Number: -553832, Predicted: even, Actual: even ✓
Number: -739045, Predicted: odd, Actual: odd ✓
Number: 514638, Predicted: even, Actual: even ✓
Number: -292516, Predicted: even, Actual: even ✓
Number: -394604, Predicted: even, Actual: even ✓
Number: -147084, Predicted: even, Actual: even ✓
Number: -900157, Predicted: odd, Actual: odd ✓
Number: -333827, Predicted: odd, Actual: odd ✓
Number: -109206, Predicted: even, Actual: even ✓
Number: -625866, Predicted: even, Actual: even ✓
Number: -903296, Predicted: even, Actual: even ✓
Number: 242860, Predicted: even, Actual: even ✓
Number: -319648, Predicted: even, Actual: even ✓
Number: -432626, Predicted: even, Actual: even ✓
Number: 47779, Predicted: odd, Actual: odd ✓
Number: 603337, Predicted: odd, Actual: odd ✓
Number: 851153, Predicted: odd, Actual: odd ✓
Number: -985711, Predicted: odd, Actual: odd ✓
Number: -328262, Predicted: even, Actual: even ✓
Number: 236239, Predicted: odd, Actual: odd ✓
Number: 119916, Predicted: even, Actual: even ✓
Number: -712390, Predicted: even, Actual: even ✓
Number: -985626, Predicted: even, Actual: even ✓
Number: 882369, Predicted: odd, Actual: odd ✓
Number: 26291, Predicted: odd, Actual: odd ✓
Number: 669006, Predicted: even, Actual: even ✓
Number: -232847, Predicted: odd, Actual: odd ✓
Number: 229575, Predicted: odd, Actual: odd ✓
Number: 701716, Predicted: even, Actual: even ✓
Number: 216620, Predicted: even, Actual: even ✓
Number: -849322, Predicted: even, Actual: even ✓
Number: 705197, Predicted: odd, Actual: odd ✓
Number: 594509, Predicted: odd, Actual: odd ✓
Number: -626940, Predicted: even, Actual: even ✓
Number: 253254, Predicted: even, Actual: even ✓
Number: -222796, Predicted: even, Actual: even ✓
Number: 814651, Predicted: odd, Actual: odd ✓
Number: -305707, Predicted: odd, Actual: odd ✓
Number: -258931, Predicted: odd, Actual: odd ✓
Number: 432566, Predicted: even, Actual: even ✓
Number: -660329, Predicted: odd, Actual: odd ✓
Number: -684869, Predicted: odd, Actual: odd ✓
Number: -936353, Predicted: odd, Actual: odd ✓
Number: -175629, Predicted: odd, Actual: odd ✓
Number: -16938, Predicted: even, Actual: even ✓
Number: -231964, Predicted: even, Actual: even ✓
Number: 597672, Predicted: even, Actual: even ✓
Number: -925148, Predicted: even, Actual: even ✓
Number: -540636, Predicted: even, Actual: even ✓
Number: 578807, Predicted: odd, Actual: odd ✓
Number: -56860, Predicted: even, Actual: even ✓
Number: -746784, Predicted: even, Actual: even ✓
Number: -732099, Predicted: odd, Actual: odd ✓
Number: -544320, Predicted: even, Actual: even ✓
Number: -676295, Predicted: odd, Actual: odd ✓
Number: 151924, Predicted: even, Actual: even ✓
Number: -617276, Predicted: even, Actual: even ✓
Number: -113488, Predicted: even, Actual: even ✓
Number: -503914, Predicted: even, Actual: even ✓
Number: -95028, Predicted: even, Actual: even ✓
Number: 317434, Predicted: even, Actual: even ✓
Number: 784785, Predicted: odd, Actual: odd ✓
Number: -731626, Predicted: even, Actual: even ✓
Number: -390353, Predicted: odd, Actual: odd ✓
Number: 828909, Predicted: odd, Actual: odd ✓
Number: 354660, Predicted: even, Actual: even ✓
Number: -406198, Predicted: even, Actual: even ✓
Number: 920549, Predicted: odd, Actual: odd ✓
Number: -415446, Predicted: even, Actual: even ✓
Number: -135476, Predicted: even, Actual: even ✓
Number: 570196, Predicted: even, Actual: even ✓
Number: 87328, Predicted: even, Actual: even ✓
Number: -143593, Predicted: odd, Actual: odd ✓
Number: -195192, Predicted: even, Actual: even ✓
Number: 267592, Predicted: even, Actual: even ✓
Number: -543589, Predicted: odd, Actual: odd ✓
Number: -700881, Predicted: odd, Actual: odd ✓
Number: 859317, Predicted: odd, Actual: odd ✓
Number: 887294, Predicted: even, Actual: even ✓
Number: 953987, Predicted: odd, Actual: odd ✓
Number: -890945, Predicted: odd, Actual: odd ✓
Number: -698547, Predicted: odd, Actual: odd ✓
Number: 826151, Predicted: odd, Actual: odd ✓
Number: 51450, Predicted: even, Actual: even ✓
Number: 405857, Predicted: odd, Actual: odd ✓
Number: 119978, Predicted: even, Actual: even ✓
Number: -201868, Predicted: even, Actual: even ✓
Number: 373295, Predicted: odd, Actual: odd ✓
Number: -726782, Predicted: even, Actual: even ✓
Number: 121527, Predicted: odd, Actual: odd ✓
Number: -623492, Predicted: even, Actual: even ✓
Number: 548488, Predicted: even, Actual: even ✓
Number: 904325, Predicted: odd, Actual: odd ✓
Number: -25466, Predicted: even, Actual: even ✓
Number: -570456, Predicted: even, Actual: even ✓
Number: 662536, Predicted: even, Actual: even ✓
Number: -778332, Predicted: even, Actual: even ✓
Number: 845419, Predicted: odd, Actual: odd ✓
Number: -413012, Predicted: even, Actual: even ✓
Number: 163580, Predicted: even, Actual: even ✓
Number: -594441, Predicted: odd, Actual: odd ✓
Number: 918270, Predicted: even, Actual: even ✓
Number: 227111, Predicted: odd, Actual: odd ✓
Number: 449413, Predicted: odd, Actual: odd ✓
Number: -267997, Predicted: odd, Actual: odd ✓
Number: 862540, Predicted: even, Actual: even ✓
Number: -967886, Predicted: even, Actual: even ✓
Number: 558798, Predicted: even, Actual: even ✓
Number: -83701, Predicted: odd, Actual: odd ✓
Number: -201328, Predicted: even, Actual: even ✓
Number: -387286, Predicted: even, Actual: even ✓
Number: -597012, Predicted: even, Actual: even ✓
Number: 288296, Predicted: even, Actual: even ✓
Number: -519604, Predicted: even, Actual: even ✓
Number: -521972, Predicted: even, Actual: even ✓
Number: -215635, Predicted: odd, Actual: odd ✓
Number: -482287, Predicted: odd, Actual: odd ✓
Number: -869087, Predicted: odd, Actual: odd ✓
Number: -136646, Predicted: even, Actual: even ✓
Number: 358539, Predicted: odd, Actual: odd ✓
Number: 935430, Predicted: even, Actual: even ✓
Number: 278631, Predicted: odd, Actual: odd ✓
Number: -618735, Predicted: odd, Actual: odd ✓
Number: -20516, Predicted: even, Actual: even ✓
Number: 941545, Predicted: odd, Actual: odd ✓
Number: -932836, Predicted: even, Actual: even ✓
Number: 823862, Predicted: even, Actual: even ✓
Number: 471369, Predicted: odd, Actual: odd ✓
Number: 626518, Predicted: even, Actual: even ✓
Number: 215367, Predicted: odd, Actual: odd ✓
Number: 166417, Predicted: odd, Actual: odd ✓
Number: -328786, Predicted: even, Actual: even ✓
Number: -73551, Predicted: odd, Actual: odd ✓
Number: -707277, Predicted: odd, Actual: odd ✓
Number: -951969, Predicted: odd, Actual: odd ✓
Number: -599120, Predicted: even, Actual: even ✓
Number: 573893, Predicted: odd, Actual: odd ✓
Number: 117930, Predicted: even, Actual: even ✓
Number: 662669, Predicted: odd, Actual: odd ✓
Number: -539966, Predicted: even, Actual: even ✓
Number: -133146, Predicted: even, Actual: even ✓
Number: -742938, Predicted: even, Actual: even ✓
Number: -130840, Predicted: even, Actual: even ✓
Number: -845809, Predicted: odd, Actual: odd ✓
Number: 520084, Predicted: even, Actual: even ✓
Number: -44849, Predicted: odd, Actual: odd ✓
Number: -549316, Predicted: even, Actual: even ✓
Number: -692998, Predicted: even, Actual: even ✓
Number: 717448, Predicted: even, Actual: even ✓
Number: -364180, Predicted: even, Actual: even ✓
Number: -596037, Predicted: odd, Actual: odd ✓
Number: 14018, Predicted: even, Actual: even ✓
Number: -279394, Predicted: even, Actual: even ✓
Number: 408334, Predicted: even, Actual: even ✓
Number: -470673, Predicted: odd, Actual: odd ✓
Number: -175260, Predicted: even, Actual: even ✓
Number: -44807, Predicted: odd, Actual: odd ✓
Number: 381762, Predicted: even, Actual: even ✓
Number: 371151, Predicted: odd, Actual: odd ✓
Number: -637838, Predicted: even, Actual: even ✓
Number: 848821, Predicted: odd, Actual: odd ✓
Number: -902866, Predicted: even, Actual: even ✓
Number: 315144, Predicted: even, Actual: even ✓
Number: -231881, Predicted: odd, Actual: odd ✓
Number: 361468, Predicted: even, Actual: even ✓
Number: -842629, Predicted: odd, Actual: odd ✓
Number: 147886, Predicted: even, Actual: even ✓
Number: 34946, Predicted: even, Actual: even ✓
